x,y,charge
1.518834769543766505e+00,7.604062274107922015e+00,-1.000000000000000000e+00
4.698788416776695342e+00,-4.690408463532704353e+00,1.000000000000000000e+00
-4.120289962799263073e+00,7.345353794529727587e+00,-1.000000000000000000e+00
-9.652979586747425955e+00,5.726032993253632242e+00,1.000000000000000000e+00
5.763551123483421357e+00,-9.392019203312562681e-01,1.000000000000000000e+00
-4.658305071418816112e+00,-5.576928470538812022e+00,-1.000000000000000000e+00
-3.996060254356843089e+00,-1.199080970914748079e+00,-1.000000000000000000e+00
1.055174309143312450e-01,1.044670834762962963e+00,1.000000000000000000e+00
9.725491770287208126e+00,6.878509313660402746e+00,-1.000000000000000000e+00
3.390709247076793886e+00,9.931655822364422903e+00,1.000000000000000000e+00
-6.564736920662848974e+00,-5.988016533112358708e+00,1.000000000000000000e+00
1.857173313776153689e+00,-8.841179676140308530e+00,-1.000000000000000000e+00
-8.746153541062657411e+00,5.426333776913689899e-01,-1.000000000000000000e+00
-8.160648725093329059e-01,8.788558098050547329e+00,1.000000000000000000e+00
1.685259318298172104e+00,4.312828039086100129e-01,-1.000000000000000000e+00
9.596545594788071787e-01,-6.347070113172331496e+00,1.000000000000000000e+00
-9.734757302710793425e+00,-5.056371800697496255e+00,1.000000000000000000e+00
3.574086342512583947e+00,-6.428738455577797772e+00,-1.000000000000000000e+00
-2.790817129023074550e+00,-9.983215769957627828e+00,1.000000000000000000e+00
7.237406781298777680e+00,-7.812072118834176848e+00,1.000000000000000000e+00
-4.104575489437832125e+00,7.398288887677082037e+00,1.000000000000000000e+00
5.276750247045307596e-01,5.643978342295012496e+00,1.000000000000000000e+00
3.634052079229241894e+00,6.145089211442336996e+00,1.000000000000000000e+00
-8.660780962244865933e+00,5.076060411386564830e-01,1.000000000000000000e+00
5.396929434816810645e-01,7.370487343125732060e+00,1.000000000000000000e+00
-1.836140376867983370e+00,1.514818271145167428e+00,-1.000000000000000000e+00
-7.847439102113897391e+00,-1.907096269164525904e+00,-1.000000000000000000e+00
-4.081586821557243283e+00,-6.646819029779814869e+00,1.000000000000000000e+00
5.896315727743624890e+00,-1.678828051302963420e+00,-1.000000000000000000e+00
8.722303284951108182e+00,1.889999771250218341e+00,-1.000000000000000000e+00
2.659927268386736099e+00,2.300830543485798962e+00,1.000000000000000000e+00
3.642865765162412561e+00,-6.610981605781632631e+00,1.000000000000000000e+00
-1.362317366908419869e+00,-5.063653313637442643e+00,1.000000000000000000e+00
-1.317052308928544857e+00,-7.887788595029397776e+00,1.000000000000000000e+00
9.965800793468314822e+00,-5.190627177142299153e+00,1.000000000000000000e+00
3.037088536641866288e+00,-4.055895589652191546e+00,-1.000000000000000000e+00
8.539238771565889508e+00,4.207572701490472689e+00,1.000000000000000000e+00
-7.058508336368515934e+00,7.464438645545369511e+00,-1.000000000000000000e+00
9.371350132568350588e+00,7.741367171278439763e+00,1.000000000000000000e+00
1.267875844569133381e+00,-6.634922965096196279e+00,1.000000000000000000e+00
-7.114914684141229628e+00,7.714877773182966081e+00,1.000000000000000000e+00
1.244389918423644659e+00,-6.601508183769346338e+00,-1.000000000000000000e+00
7.809394676118604828e+00,1.846211731304040260e+00,1.000000000000000000e+00
1.788814354412481267e+00,-2.961491414535644573e+00,1.000000000000000000e+00
-1.371069745801101636e+00,-4.986326512295515379e+00,-1.000000000000000000e+00
-9.744551630602719783e+00,9.341222980276780774e+00,1.000000000000000000e+00
-1.742572816131813473e+00,1.406467769889500730e+00,1.000000000000000000e+00
-4.211628284846236525e+00,4.200033229230120568e+00,1.000000000000000000e+00
-9.853642886935974232e+00,-2.984019836999481257e+00,-1.000000000000000000e+00
-9.366638114437266793e+00,-8.274080818745288113e+00,1.000000000000000000e+00
